PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
93436,20180328,TSLA,TESLA INC,257.78000,-0.076653,15
93436,20180329,TSLA,TESLA INC,266.13000,0.032392,15
93436,20180402,TSLA,TESLA INC,252.48000,-0.051291,15
93436,20180403,TSLA,TESLA INC,267.53000,0.059609,15
93436,20180404,TSLA,TESLA INC,286.94000,0.072553,15
93436,20180405,TSLA,TESLA INC,305.72000,0.065449,15
93436,20180406,TSLA,TESLA INC,299.29999,-0.021000,15
93436,20180409,TSLA,TESLA INC,289.66000,-0.032208,15
93436,20180410,TSLA,TESLA INC,304.70001,0.051923,15
93436,20180411,TSLA,TESLA INC,300.92999,-0.012373,15
93436,20180412,TSLA,TESLA INC,294.07999,-0.022763,15
93436,20180413,TSLA,TESLA INC,300.34000,0.021287,15
93436,20180416,TSLA,TESLA INC,291.20999,-0.030399,15
93436,20180417,TSLA,TESLA INC,287.69000,-0.012087,15
93436,20180418,TSLA,TESLA INC,293.35001,0.019674,15
93436,20180419,TSLA,TESLA INC,300.07999,0.022942,15
93436,20180420,TSLA,TESLA INC,290.23999,-0.032791,15
93436,20180423,TSLA,TESLA INC,283.37000,-0.023670,15
93436,20180424,TSLA,TESLA INC,283.45999,0.000318,15
93436,20180425,TSLA,TESLA INC,280.69000,-0.009772,15
93436,20180426,TSLA,TESLA INC,285.48001,0.017065,15
93436,20180427,TSLA,TESLA INC,294.07501,0.030107,15
93436,20180430,TSLA,TESLA INC,293.89999,-0.000595,15
93436,20180501,TSLA,TESLA INC,299.92001,0.020483,15
93436,20180502,TSLA,TESLA INC,301.14999,0.004101,15
93436,20180503,TSLA,TESLA INC,284.45001,-0.055454,15
93436,20180504,TSLA,TESLA INC,294.09000,0.033890,15
93436,20180507,TSLA,TESLA INC,302.76999,0.029515,15
93436,20180508,TSLA,TESLA INC,301.97000,-0.002642,15
93436,20180509,TSLA,TESLA INC,306.85001,0.016161,15
93436,20180510,TSLA,TESLA INC,305.01999,-0.005964,15
93436,20180511,TSLA,TESLA INC,301.06000,-0.012983,15
93436,20180514,TSLA,TESLA INC,291.97000,-0.030193,15
93436,20180515,TSLA,TESLA INC,284.17999,-0.026681,15
93436,20180516,TSLA,TESLA INC,286.48001,0.008094,15
93436,20180517,TSLA,TESLA INC,284.54001,-0.006772,15
93436,20180518,TSLA,TESLA INC,276.82001,-0.027132,15
93436,20180521,TSLA,TESLA INC,284.48999,0.027707,15
93436,20180522,TSLA,TESLA INC,275.01001,-0.033323,15
93436,20180523,TSLA,TESLA INC,279.07001,0.014763,15
93436,20180524,TSLA,TESLA INC,277.85001,-0.004372,15
93436,20180525,TSLA,TESLA INC,278.85001,0.003599,15
93436,20180529,TSLA,TESLA INC,283.76001,0.017608,15
93436,20180530,TSLA,TESLA INC,291.72000,0.028052,15
93436,20180531,TSLA,TESLA INC,284.73001,-0.023961,15
93436,20180601,TSLA,TESLA INC,291.82001,0.024901,15
93436,20180604,TSLA,TESLA INC,296.73999,0.016860,15
93436,20180605,TSLA,TESLA INC,291.13000,-0.018905,15
93436,20180606,TSLA,TESLA INC,319.50000,0.097448,15
93436,20180607,TSLA,TESLA INC,316.09000,-0.010673,15
93436,20180608,TSLA,TESLA INC,317.66000,0.004967,15
93436,20180611,TSLA,TESLA INC,332.10001,0.045457,15
93436,20180612,TSLA,TESLA INC,342.76999,0.032129,15
93436,20180613,TSLA,TESLA INC,344.78000,0.005864,15
93436,20180614,TSLA,TESLA INC,357.72000,0.037531,15
93436,20180615,TSLA,TESLA INC,358.17001,0.001258,15
93436,20180618,TSLA,TESLA INC,370.82999,0.035346,15
93436,20180619,TSLA,TESLA INC,352.54999,-0.049295,15
93436,20180620,TSLA,TESLA INC,362.22000,0.027429,15
93436,20180621,TSLA,TESLA INC,347.51001,-0.040611,15
93436,20180622,TSLA,TESLA INC,333.63000,-0.039941,15
93436,20180625,TSLA,TESLA INC,333.01001,-0.001858,15
93436,20180626,TSLA,TESLA INC,342.00000,0.026996,15
93436,20180627,TSLA,TESLA INC,344.50000,0.007310,15
93436,20180628,TSLA,TESLA INC,349.92999,0.015762,15
93436,20180629,TSLA,TESLA INC,342.95001,-0.019947,15
93436,20180702,TSLA,TESLA INC,335.07001,-0.022977,15
93436,20180703,TSLA,TESLA INC,310.85999,-0.072254,15
93436,20180705,TSLA,TESLA INC,309.16000,-0.005469,15
93436,20180706,TSLA,TESLA INC,308.89999,-0.000841,15
93436,20180709,TSLA,TESLA INC,318.51001,0.031110,15
93436,20180710,TSLA,TESLA INC,322.47000,0.012433,15
93436,20180711,TSLA,TESLA INC,318.95999,-0.010885,15
93436,20180712,TSLA,TESLA INC,316.70999,-0.007054,15
93436,20180713,TSLA,TESLA INC,318.87000,0.006820,15
93436,20180716,TSLA,TESLA INC,310.10001,-0.027503,15
93436,20180717,TSLA,TESLA INC,322.69000,0.040600,15
93436,20180718,TSLA,TESLA INC,323.85001,0.003595,15
93436,20180719,TSLA,TESLA INC,320.23001,-0.011178,15
93436,20180720,TSLA,TESLA INC,313.57999,-0.020766,15
93436,20180723,TSLA,TESLA INC,303.20001,-0.033102,15
93436,20180724,TSLA,TESLA INC,297.42999,-0.019030,15
93436,20180725,TSLA,TESLA INC,308.73999,0.038026,15
93436,20180726,TSLA,TESLA INC,306.64999,-0.006769,15
93436,20180727,TSLA,TESLA INC,297.17999,-0.030882,15
93436,20180730,TSLA,TESLA INC,290.17001,-0.023588,15
93436,20180731,TSLA,TESLA INC,298.14001,0.027467,15
93436,20180801,TSLA,TESLA INC,300.84000,0.009056,15
93436,20180802,TSLA,TESLA INC,349.54001,0.161880,15
93436,20180803,TSLA,TESLA INC,348.17001,-0.003919,15
93436,20180806,TSLA,TESLA INC,341.98999,-0.017750,15
93436,20180807,TSLA,TESLA INC,379.57001,0.109886,15
93436,20180808,TSLA,TESLA INC,370.34000,-0.024317,15
93436,20180809,TSLA,TESLA INC,352.45001,-0.048307,15
93436,20180810,TSLA,TESLA INC,355.48999,0.008625,15
93436,20180813,TSLA,TESLA INC,356.41000,0.002588,15
93436,20180814,TSLA,TESLA INC,347.64001,-0.024606,15
